month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
9/1/2005,Montana,323,,1433,4812,,154,0,5,5,,314,1324,,,,,,,,,,,,,8370
9/1/2005,Nebraska,1451,,0,2721,,0,0,0,1,,1,154,,,,,,,,,,,,,4328
9/1/2005,Nevada,0,,2005,2366,,107,0,0,0,,187,219,,,,,,,,,,,,,4884
9/1/2005,New Hampshire,1298,,1347,2500,,13,0,0,0,,0,6,,,,,,,,,,,,,5164
9/1/2005,New Jersey,0,,1149,1644,,48,2,0,0,,0,0,,,,,,,,,,,,,2843
9/1/2005,New Mexico,0,,2193,3256,,169,0,0,8,,354,898,,,,,,,,,,,,,6878
9/1/2005,New York,3341,,938,11950,,12,11,2,0,,0,19,,,,,,,,,,,,,16273
9/1/2005,North Carolina,7336,,137,11693,,112,0,9,27,,1133,2108,,,,,,,,,,,,,22555
9/1/2005,North Dakota,136,,413,3194,,37,0,1,0,,26,205,,,,,,,,,,,,,4012
9/1/2005,Ohio,0,,8467,12915,,614,0,19,59,,577,1023,,,,,,,,,,,,,23674
9/1/2005,Oklahoma,0,,3873,7073,,388,0,8,23,,945,2044,,,,,,,,,,,,,14354
9/1/2005,Oregon,65,,4494,10907,,274,0,0,0,,0,0,,,,,,,,,,,,,15740
9/1/2005,Pennsylvania,200,,0,41184,,171,1,0,0,,0,0,,,,,,,,,,,,,41556
9/1/2005,Puerto Rico,0,,676,174,,15,0,0,0,,0,0,,,,,,,,,,,,,865
9/1/2005,Rhode Island,0,,353,421,,58,0,0,0,,2,1,,,,,,,,,,,,,835
9/1/2005,South Carolina,1325,,3406,5590,,132,0,5,9,,492,790,,,,,,,,,,,,,11749
9/1/2005,South Dakota,0,,697,4011,,52,0,0,1,,72,263,,,,,,,,,,,,,5096
9/1/2005,Tennessee,2691,,7117,9340,,334,0,0,0,,0,0,,,,,,,,,,,,,19482
9/1/2005,Texas,6488,,16551,35805,,1131,0,49,61,,3251,5619,,,,,,,,,,,,,68955
9/1/2005,Utah,1079,,1932,5424,,108,0,0,0,,0,0,,,,,,,,,,,,,8543
9/1/2005,Vermont,0,,483,1381,,36,0,0,0,,0,0,,,,,,,,,,,,,1900
9/1/2005,Virgin Islands,,,,,,0,,,,,,,,,,,,,,,,,,,0
9/1/2005,Virginia,0,,7017,10689,,246,0,0,0,,0,0,,,,,,,,,,,,,17952
9/1/2005,Washington,4780,,4904,9061,,318,13,3,7,,790,1395,,,,,,,,,,,,,21271
9/1/2005,West Virginia,0,,2497,5778,,224,0,5,7,,644,2209,,,,,,,,,,,,,11364
9/1/2005,Wisconsin,0,,3373,14795,,0,0,0,1,,4,250,,,,,,,,,,,,,18423
9/1/2005,Wyoming,188,,821,2161,,56,0,2,1,,102,430,,,,,,,,,,,,,3761
8/1/2005,Alabama,0,,5407,7212,,259,0,30,40,,1153,1437,,,,,,,,,,,,,15538
8/1/2005,Alaska,0,,1424,2663,,90,0,3,1,,149,292,,,,,,,,,,,,,4622
8/1/2005,Arizona,1413,,5397,6081,,254,0,15,3,,669,520,,,,,,,,,,,,,14352
8/1/2005,Arkansas,995,,2336,5695,,193,0,7,18,,546,1796,,,,,,,,,,,,,11586
8/1/2005,California,13384,,18243,20689,,0,1,0,0,,0,0,,,,,,,,,,,,,52317
8/1/2005,Colorado,732,,6011,9114,,430,0,0,0,,0,0,,,,,,,,,,,,,16287
8/1/2005,Connecticut,3642,,1770,1618,,77,280,0,0,,0,0,,,,,,,,,,,,,7387
8/1/2005,Delaware,0,,478,745,,27,0,0,0,,0,0,,,,,,,,,,,,,1250
8/1/2005,District of Columbia,0,,0,1,,0,0,0,0,,0,0,,,,,,,,,,,,,1
8/1/2005,Florida,0,,14600,12282,,565,5,7,7,,462,367,,,,,,,,,,,,,28295
8/1/2005,Georgia,2526,,4521,6770,,227,4,24,45,,711,1246,,,,,,,,,,,,,16074
8/1/2005,Guam,0,,14,23,,1,0,0,0,,0,0,,,,,,,,,,,,,38
8/1/2005,Hawaii,643,,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,643
8/1/2005,Idaho,1000,,1278,3207,,119,0,1,3,,215,738,,,,,,,,,,,,,6561
8/1/2005,Illinois,34888,,3853,7722,,254,0,0,0,,0,0,,,,,,,,,,,,,46717
8/1/2005,Indiana,0,,4719,6980,,183,0,0,5,,2,417,,,,,,,,,,,,,12306
8/1/2005,Iowa,3130,,21,2554,,3,1,0,0,,6,116,,,,,,,,,,,,,5831
8/1/2005,Kansas,0,,1831,4609,,170,0,2,7,,283,500,,,,,,,,,,,,,7402
8/1/2005,Kentucky,0,,5184,8297,,370,0,9,27,,1133,1998,,,,,,,,,,,,,17018
8/1/2005,Louisiana,1,,4295,7314,,204,0,2,7,,664,1067,,,,,,,,,,,,,13554
8/1/2005,Maine,0,,1094,2487,,68,0,14,45,,44,118,,,,,,,,,,,,,3870
